country,Cluster
Albania,0
Algeria,0
Argentina,0
Antigua and Barbuda,0
Armenia,0
Bahrain,0
Bahamas,0
Azerbaijan,0
Belarus,0
Barbados,0
Bangladesh,0
Brazil,0
Bosnia and Herzegovina,0
Bolivia,0
Bhutan,0
Belize,0
Cape Verde,0
Botswana,0
Cambodia,0
Bulgaria,0
Grenada,0
Guatemala,0
Fiji,0
Egypt,0
Croatia,0
Czech Republic,0
Ecuador,0
Dominican Republic,0
Costa Rica,0
Colombia,0
China,0
Chile,0
Georgia,0
El Salvador,0
Estonia,0
Mauritius,0
Mongolia,0
Myanmar,0
Morocco,0
Montenegro,0
Nepal,0
Poland,0
Russia,0
Romania,0
Panama,0
Paraguay,0
Peru,0
Oman,0
Samoa,0
Kyrgyz Republic,0
Lebanon,0
Latvia,0
"Macedonia, FYR",0
Malaysia,0
Lithuania,0
Libya,0
Jordan,0
Kazakhstan,0
Jamaica,0
Iran,0
India,0
Indonesia,0
Hungary,0
Guyana,0
Philippines,0
"Micronesia, Fed. Sts.",0
Moldova,0
Maldives,0
Ukraine,0
Turkmenistan,0
Turkey,0
Tunisia,0
South Africa,0
Suriname,0
St. Vincent and the Grenadines,0
Sri Lanka,0
Vietnam,0
Uzbekistan,0
Vanuatu,0
Venezuela,0
Uruguay,0
Tajikistan,0
Tonga,0
Thailand,0
Slovak Republic,0
Seychelles,0
Serbia,0
Saudi Arabia,0
Brunei,1
Luxembourg,1
Singapore,1
United Arab Emirates,1
Kuwait,1
Ireland,1
Malta,1
Qatar,1
Canada,2
France,2
Cyprus,2
Switzerland,2
United Kingdom,2
South Korea,2
Slovenia,2
Spain,2
Sweden,2
United States,2
Japan,2
Italy,2
Iceland,2
Israel,2
Netherlands,2
New Zealand,2
Portugal,2
Norway,2
Germany,2
Denmark,2
Finland,2
Australia,2
Belgium,2
Austria,2
Greece,2
Guinea,3
Gambia,3
Ghana,3
Angola,3
Afghanistan,3
Cameroon,3
Central African Republic,3
Rwanda,3
Nigeria,3
Niger,3
Pakistan,3
Mali,3
Mauritania,3
Mozambique,3
Namibia,3
Iraq,3
Lao,3
Kiribati,3
Kenya,3
Lesotho,3
Liberia,3
Madagascar,3
Malawi,3
Haiti,3
Guinea-Bissau,3
Burkina Faso,3
Burundi,3
Benin,3
Chad,3
"Congo, Dem. Rep.",3
"Congo, Rep.",3
Cote d'Ivoire,3
Comoros,3
Equatorial Guinea,3
Eritrea,3
Gabon,3
Sudan,3
Senegal,3
Solomon Islands,3
Uganda,3
Tanzania,3
Timor-Leste,3
Togo,3
Sierra Leone,3
Yemen,3
Zambia,3
